Rk,Name,Age,G,GS,MP,FG,FGA,FGPercent,ThreeP,ThreePA,ThreePPercent,TwoP,TwoPA,TwoPPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
6,B.J. Armstrong\armstbj01,24,82,3,22.9,4.1,8.5,0.481,0.4,1.1,0.402,3.7,7.4,0.492,0.506,1.3,1.6,0.806,0.2,1.5,1.8,3.2,0.6,0.1,1.1,1.1,9.9,1991-1992
7,Stacey King\kingst01,25,79,12,16.1,2.7,5.4,0.506,0,0.1,0.4,2.7,5.3,0.507,0.508,1.5,2,0.753,1.1,1.5,2.6,1,0.3,0.3,1,1.6,7,1991-1992
8,Will Perdue\perduwi01,26,77,7,13.1,2,3.6,0.547,0,0,0.5,2,3.6,0.547,0.549,0.6,1.2,0.495,1.4,2.6,4.1,1,0.2,0.6,0.9,1.7,4.5,1991-1992
9,Cliff Levingston\levincl01,31,79,0,12.9,1.6,3.2,0.498,0,0.1,0.167,1.6,3.1,0.506,0.5,0.8,1.2,0.625,1.4,1.5,2.9,0.8,0.3,0.6,0.5,1.7,3.9,1991-1992
10,Bob Hansen\hansebo01,31,66,0,11.7,1.1,2.6,0.444,0.1,0.4,0.28,1,2.2,0.472,0.464,0.1,0.3,0.364,0.2,0.9,1.1,1,0.4,0,0.4,1.9,2.5,1991-1992
11,Scott Williams\willisc01,23,63,0,11,1.3,2.7,0.483,0,0,0,1.3,2.7,0.491,0.483,0.8,1.2,0.649,1.4,2.5,3.9,0.8,0.2,0.6,0.6,1.9,3.4,1991-1992
12,Craig Hodges\hodgecr01,31,56,2,9.9,1.7,4.3,0.384,0.6,1.7,0.375,1,2.6,0.39,0.459,0.3,0.3,0.941,0.1,0.3,0.4,1,0.3,0,0.4,0.6,4.3,1991-1992
13,Dennis Hopson\hopsode01,26,2,0,5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0,0,0,0.5,0,0,1,1,1991-1992
14,Mark Randall\randama01,24,15,0,4.5,0.7,1.5,0.455,0,0.1,0,0.7,1.3,0.5,0.455,0.4,0.5,0.75,0.3,0.3,0.6,0.5,0,0,0.4,0.5,1.7,1991-1992
15,Rory Sparrow\sparrro01,33,4,0,4.5,0.3,2,0.125,0.3,0.5,0.5,0,1.5,0,0.188,0,0,,0,0.3,0.3,1,0,0,0.5,0.5,0.8,1991-1992
